batch_size,chromosomeID,cross_prob,dnn_kl_weight,dnn_log_var_prior,dnn_weight,fitness,generationID,hostname,info,isTrained,kl_anneal,log_dir,model_dir,mutate_prob,num_conv_layers,num_dnn_layers,num_epochs,num_generations,num_vae_layers,optimizer,patience,population_size,prediction_log_var_prior,predictor_type,run_name,size_dnn_hidden,size_filter,size_kernel,size_pool,size_vae_hidden,size_vae_latent,table_dir,time_stamp,train_file,vae_kl_weight,vae_weight,w_kl_anneal
128,25,0.7,6.35,0.0,1.0,14.7585,3,172.16.50.177,Descendant of 72,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,15,30,0,[],65,207,../data/tables,1564543513,MNIST,1390000.0,30.53,0
128,26,0.7,6.35,0.0,1.0,19.4326,3,172.16.50.181,Descendant of 74,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,91,85,3,[],200,463,../data/tables,1564543715,MNIST,1390000.0,30.53,0
128,27,0.7,6.35,0.0,1.0,15.487,3,172.16.50.214,Child of 19 and 13,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,15,82,2,[],432,299,../data/tables,1564543805,MNIST,1390000.0,30.53,0
128,28,0.7,6.35,0.0,1.0,14.8,3,172.16.50.177,Child of 3 and 53,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,200,80,3,[],347,125,../data/tables,1564543815,MNIST,1390000.0,30.53,0
128,29,0.7,6.35,0.0,1.0,15.63,3,172.16.50.163,Child of 14 and 77,2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,190,28,0,[],216,484,../data/tables,1564544088,MNIST,1390000.0,30.53,0
128,30,0.7,6.35,0.0,1.0,16.266,3,172.16.50.163,Descendant of 27,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,33,46,3,[],286,458,../data/tables,1564544469,MNIST,1390000.0,30.53,0
128,31,0.7,6.35,0.0,1.0,14.7011,3,172.16.50.177,Child of 88 and 1,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,395,28,1,[],175,295,../data/tables,1564544570,MNIST,1390000.0,30.53,0
128,32,0.7,6.35,0.0,1.0,14.7603,3,172.16.50.163,Child of 52 and 82,2,0,../data/logs,../data/models,0.05,1,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,199,72,3,[],3,111,../data/tables,1564544851,MNIST,1390000.0,30.53,0
128,33,0.7,6.35,0.0,1.0,15.2015,3,172.16.50.181,Child of 87 and 21 [Mutated],2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,505,85,0,[],347,355,../data/tables,1564544895,MNIST,1390000.0,30.53,0
128,34,0.7,6.35,0.0,1.0,15.3739,3,172.16.50.177,Descendant of 33,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,337,85,4,[],392,278,../data/tables,1564544930,MNIST,1390000.0,30.53,0
